"","bookingID","avgspeed","avgrest","label"
"1",0,0.0186642826875824,-0.000402209337832497,"0"
"5",6,-0.12445541247806,-0.000449293793810844,"0"
"6",7,0.122686756537754,-0.000821017777253007,"0"
"7",8,-0.100523481667258,-0.00174054705514032,"0"
"8",10,0.00966653607870795,-0.00283677453281072,"0"
"9",11,-0.0573302499962287,-3.74158644110343e-05,"0"
"10",14,-0.121319343754004,-0.000361309125901816,"0"
"11",16,-0.0760937230378094,-0.000804786879940418,"0"
"12",17,0.147434568403539,0.00155437567789882,"0"
"14",21,-0.092251514865483,-0.00187922696837041,"0"
"15",25,-0.076238252153019,-0.000214163185276517,"0"
"16",26,-0.0583112570809695,0.000531529356900248,"0"
"17",27,0.245208580822353,-0.000886698716205326,"0"
"18",28,-0.01800512220724,-0.000939659077665656,"0"
"19",29,-0.0425370825852,-8.2987243490659e-05,"0"
"20",30,-0.124442879469853,-0.00327420199727334,"0"
"21",32,-0.11643487762262,-0.000756204127383798,"0"
"22",33,-0.0633111164423675,0.00116454986462337,"0"
"23",34,0.0320389112240354,0.000448644371396915,"0"
"25",36,-0.140109606890599,-0.000339530642193225,"0"
"26",37,0.18823088921947,3.16682824613609e-05,"0"
"27",38,0.142164972640184,-0.00131357135259938,"0"
"28",39,0.113848186637877,0.000204496968589104,"0"
"30",43,0.165700102253663,-0.000385872982517242,"0"
"31",44,-0.0725811022193929,-8.89429509888404e-06,"0"
"33",50,-0.0480635951944073,-0.000950933767225462,"0"
"35",53,0.275199745706312,0.00205729055691798,"0"
"36",56,0.463109567917323,0.000262628277188892,"0"
"38",58,0.0282894949809438,-0.00196587874853469,"0"
"39",59,-0.0923649841844351,-0.001628282214092,"0"
"41",64,0.0702753938808736,-0.000665886631174713,"0"
"42",65,0.0875710617987495,0.000533112097390752,"0"
"44",69,0.193883866591728,-0.000612046327763258,"0"
"45",71,0.096904499913669,-0.000985779051246564,"0"
"46",73,-0.110178999333626,-0.000911464252017628,"0"
"47",74,-0.132362606300809,-0.0007613744539359,"0"
"48",76,0.000248305413449795,-0.00245371078638332,"0"
"49",80,0.236471670903034,-0.00059276174495189,"0"
"50",81,-0.181860500773844,-0.0010836531849199,"0"
"51",82,-0.308463196751723,-0.00105316253869566,"0"
"52",84,-0.16332178555451,0.00161513120487895,"0"
"53",85,0.20164653750576,-0.00119664730426175,"0"
"55",87,0.00779141533729509,-0.0010693012544456,"0"
"57",89,-0.193146612902621,-0.00332943088796364,"0"
"58",91,-0.115266127473776,-0.00121976659131053,"0"
"59",94,0.122987823848211,-0.00121443876593486,"0"
"61",96,0.0850111330127908,0.00213381756857079,"0"
"62",97,-0.163791332321158,-0.00109202383231086,"0"
"63",98,0.0139500823381848,-0.000803540257004557,"0"
"65",102,0.102994438005397,-0.00135517835461192,"0"
"66",103,-0.11997980644363,-0.00158315258574707,"0"
"68",105,-0.244550358407832,-0.00299452658597744,"0"
"72",112,-0.181834039611611,-0.000918556791585441,"0"
"75",115,-0.168518273304205,-0.0012653668393053,"0"
"76",116,0.0376623865368465,-0.000320494790438156,"0"
"78",122,0.0804304057737109,0.00015131597849465,"0"
"79",124,-0.126633970378287,-0.0039884146492827,"0"
"81",126,0.34858622002048,1.51596535614271e-05,"0"
"82",127,-0.128373276502568,-0.00131841344784866,"0"
"84",131,-0.135771830024361,-0.0029274307827604,"0"
"85",134,-0.0904043416159802,-0.000776429489564306,"0"
"88",137,0.0285451774845716,-0.00212620939098365,"0"
"90",140,-0.105534411798824,-0.00382544257193681,"0"
"91",142,-0.0676347177899747,-0.00355452223677875,"0"
"92",143,-0.191170731392051,-0.00121642885299784,"0"
"93",145,0.0107647883355574,-0.00155922258540881,"0"
